"M_range","Site","Plot","Z","Type","Essence","Diameter","Position","Contact","Sap_max","P_Bux","X","Y"
"Massif_central","M2","M2",1439.380952,"Bois mort au sol","Résineux",45,"Perpandiculaire","Total","5","0",683970.823090977,6440839.62051314
"Massif_central","M2","M2",1431.047619,"Souche","Résineux",60,NA,NA,"3","0",683975.610660999,6440834.38819364
"Massif_central","M2","M2",1441.047619,"Bois mort au sol","Résineux",55,"Axe de pente","Total","5","0",683975.154465255,6440840.60891248
"Massif_central","M2","M2",1443,"Souche","Résineux",0,NA,NA,"3","0",683974.995908969,6440840.16506828
"Massif_central","M2","M2",1438.333333,"Bois mort au sol","Résineux",50,"Perpandiculaire","Total","4","0",683976.651585674,6440841.27143187
"Massif_central","M2","M2",1433.571429,"Souche","Résineux",55,NA,NA,"3","0",683972.398344638,6440840.06070348
"Massif_central","M2","M2",1439,"Bois mort au sol","Résineux",25,"Perpandiculaire","Total","5","0",683980.264875917,6440838.48553542
"Massif_central","M2","M2",1419,"Bois mort au sol","Résineux",50,"Perpandiculaire","Partiel","3","1",683978.255437964,6440822.27547925
"Massif_central","M2","M2",1422.285714,"Bois mort au sol","Résineux",30,"Perpandiculaire","Partiel","4","0",683980.790049102,6440828.48848825
"Massif_central","M2","M2",1433,"Souche","Résineux",60,NA,NA,"4","0",683982.826374791,6440824.59602557
"Massif_central","M2","M2",1440,"Souche","Résineux",65,NA,NA,"2","0",683995.986224244,6440830.78166569
"Massif_central","M2","M2",1435.238095,"Souche","Résineux",80,NA,NA,"2","0",684002.0923763,6440817.99366928
"Massif_central","M2","M2",1437.190476,"Bois mort au sol","Résineux",15,"Axe de pente","Total","3","0",684005.90940669,6440833.19951161
"Massif_central","M2","M2",1431.857143,"Bois mort au sol","Résineux",0,"Autre","Total","3","0",684001.550013692,6440821.32696333
"Massif_central","M2","M2",1444.333333,"Bois mort au sol","Résineux",55,"Axe de pente","Total","4","0",683959.267157165,6440844.98136547
"Massif_central","M2","M2",1446.904762,"Bois mort au sol","Résineux",45,"Autre","Partiel","3","0",683964.073627216,6440847.07916341
"Massif_central","M2","M2",1442,"Bois mort au sol","Feuillus",20,"Axe de pente","Partiel","3","0",683948.649395711,6440847.89642442
"Massif_central","M2","M2",1435,"Souche","Résineux",100,NA,NA,"5","0",683948.100179816,6440848.5642225
"Massif_central","M2","M2",1444.761905,"Bois mort au sol","Résineux",15,"Perpandiculaire","Total","3","0",683938.943099639,6440838.03687105
"Massif_central","M2","M2",1437.761905,"Bois mort au sol","Résineux",30,"Perpandiculaire","Total","3","0",683942.343215544,6440844.13656427
"Massif_central","M2","M2",1442.571429,"Souche","Résineux",55,NA,NA,"5","0",683935.946552229,6440835.82335062
